# enrichment: entra. Existing ids keep upstream kind/name/url when blank.
id,kind,aliases,name,group,url,path,desc,keywords,roles,license,docs,ps,related,verified
enguests,,,,Users & groups,,Identity > External Identities,B2B collaboration settings and guest lifecycle.,b2b|guests,useradmin,free,https://learn.microsoft.com/entra/external-id/,,enctas|eninvite,2026-08
enctas,,,,Users & groups,,Identity > External Identities > Cross-tenant access settings,Per-partner inbound/outbound trust: MFA and device claims; B2B collab scoping.,xtap|partner trust,secadmin,free,https://learn.microsoft.com/entra/external-id/cross-tenant-access-overview,,enguests,2026-08
eninvite,,,,Users & groups,,Identity > Users > New user > Invite external user,Invite a B2B guest by mail; the start of most sharing tickets.,guest invite,useradmin,free,,New-MgInvitation,enguests,2026-08
enusrsettings,,,,Users & groups,,Identity > Users > User settings,App registrations by users; admin portal restriction; LinkedIn sync.,restrict portal,useradmin,free,,,enconsent,2026-08
endevices,,,,Devices,,Identity > Devices > All devices,"Entra device objects: join state, compliance, BitLocker keys per device.",aadj|haadj|bitlocker,clouddeviceadmin,free,https://learn.microsoft.com/entra/identity/devices/,Get-MgDevice,endevicesettings|enlaps|dsregcmd,2026-08
endevicesettings,,,,Devices,,Identity > Devices > Device settings,"Who may join/register devices, local admin policy, max devices per user.",join settings,clouddeviceadmin,free,,,endevices,2026-08
enlaps,,,,Devices,,Identity > Devices > Local administrator password recovery,Read Windows LAPS passwords escrowed to Entra.,laps|local admin,clouddeviceadmin,free,https://learn.microsoft.com/entra/identity/devices/howto-manage-local-admin-passwords,Get-LapsAADPassword,endevices,2026-08
enappreg,,,,Applications,,Identity > Applications > App registrations,"Your own app identities: credentials, API permissions, app roles. Watch secret expiry.",secrets|certificates,appadmin,free,https://learn.microsoft.com/entra/identity-platform/quickstart-register-app,Get-MgApplication,enapps,2026-08
enapps,,,,Applications,,Identity > Applications > Enterprise applications,"Service principals: SSO config, provisioning, consent state, sign-in activity.",sso|saml|scim,cloudappadmin,free,https://learn.microsoft.com/entra/identity/enterprise-apps/,Get-MgServicePrincipal,enappreg|enconsent|enappproxy,2026-08
enconsent,,,,Applications,,Enterprise applications > Consent and permissions,User consent policy and the admin consent request workflow.,oauth consent,privroleadmin,free,https://learn.microsoft.com/entra/identity/enterprise-apps/configure-user-consent,,decaoauth,2026-08
enpim,,,,Governance,,Identity governance > Privileged Identity Management,Just-in-time role activation with approval and MFA; no standing admin.,jit|pim,privroleadmin,entra-p2,https://learn.microsoft.com/entra/id-governance/privileged-identity-management/,,enpimr|enpimg|enpimz,2026-08
enpimr,,,,Governance,,PIM > Microsoft Entra roles,Activate and configure directory role assignments.,,privroleadmin,entra-p2,,,enpim,2026-08
enpimg,,,,Governance,,PIM > Groups,PIM for group membership/ownership (role-assignable groups).,,privroleadmin,entra-p2,,,enpim,2026-08
enpimz,,,,Governance,,PIM > Azure resources,PIM for Azure RBAC roles at any scope.,,privroleadmin,entra-p2,,,enpim|azpim,2026-08
enar,,,,Governance,,Identity governance > Access reviews,Recurring attestation of group/app/role access.,attestation,idgovadmin,entra-p2,https://learn.microsoft.com/entra/id-governance/access-reviews-overview,,enelm,2026-08
enelm,,,,Governance,,Identity governance > Entitlement management,"Access packages: bundled resources with approval, expiry and reviews.",access packages,idgovadmin,entra-p2,https://learn.microsoft.com/entra/id-governance/entitlement-management-overview,,enar|myaccess,2026-08
enroles,,,,Governance,,Identity > Roles & administrators,All directory roles and their assignments; prefer PIM-eligible.,rbac,privroleadmin,free,https://learn.microsoft.com/entra/identity/role-based-access-control/,Get-MgDirectoryRole,enpim|enadminunits,2026-08
enpa,,,,Governance,,Roles & administrators > Protected actions,Bind CA authentication context to sensitive directory actions.,,privroleadmin,entra-p2,,,enac,2026-08
ensynclog,,,,Hybrid,,Identity > Hybrid management > Connect sync errors,Entra Connect export/sync errors; duplicate attributes; quarantine.,dirsync errors,hybididadmin,free,https://learn.microsoft.com/entra/identity/hybrid/connect/tshoot-connect-sync-errors,,encloudsync,2026-08
encloudsync,,,,Hybrid,,Identity > Hybrid management > Cloud sync,Lightweight provisioning-agent sync; per-OU scoping.,cloud sync,hybididadmin,free,https://learn.microsoft.com/entra/identity/hybrid/cloud-sync/what-is-cloud-sync,,ensynclog,2026-08
enadfslog,,,,Hybrid,,Identity > Hybrid management > ADFS services,Connect Health for ADFS: sign-in health and bad password attempts.,adfs,hybididadmin,entra-p1,,,ensynclog,2026-08
endom,,,,Users & groups,,Identity > Settings > Domain names,Custom domains and their verification records.,custom domain,domainnameadmin,free,,,domains,2026-08
ensupport,,,,Monitoring,,Entra admin center > support request,Open an identity support case; collect correlation IDs first.,ticket,svcsupportadmin,free,,,mshealth,2026-08
enagentid,,,,Applications,,Identity > Applications > Agent ID,Inventory of AI agent identities in the tenant.,agents|ai,appadmin,,,,enappreg,
encawhatif,setting,whatif,Conditional Access What If,Protection,,Protection > Conditional Access > Policies > What If,Simulate which CA policies hit a given user/app/platform before you break sign-in.,simulate|test policy,caadmin,entra-p1,https://learn.microsoft.com/entra/identity/conditional-access/what-if-tool,,enca,2026-08
encatemplates,setting,,Conditional Access templates,Protection,,Protection > Conditional Access > Policies > New policy from template,Microsoft-curated starter policies; deploy report-only first.,baseline,caadmin,entra-p1,https://learn.microsoft.com/entra/identity/conditional-access/concept-conditional-access-policy-common,,enca|ensecdefaults,2026-08
ensecdefaults,setting,,Security defaults,Protection,,Identity > Overview > Properties > Manage security defaults,Free baseline protection (MFA nudge; legacy auth block) for tenants without CA.,baseline|free mfa,ga,free,https://learn.microsoft.com/entra/fundamentals/security-defaults,,enca|encatemplates,2026-08
enadminunits,setting,au,Administrative units,Governance,,Identity > Roles & administrators > Admin units,Scope helpdesk/user admins to a department or country; restricted AUs block tenant admins.,delegation|scope,privroleadmin,entra-p1,https://learn.microsoft.com/entra/identity/role-based-access-control/administrative-units,,enroles,2026-08
enappproxy,setting,,Application proxy,Applications,,Enterprise applications > Application proxy,"Publish on-prem web apps with pre-auth; connectors, SPN/KCD for IWA.",hybrid apps|kcd,appadmin,entra-p1,https://learn.microsoft.com/entra/identity/app-proxy/,,enapps,2026-08
enlifecycle,setting,jml,Lifecycle workflows,Governance,,Identity governance > Lifecycle workflows,Joiner/mover/leaver automation: TAP issuance; group add/remove; offboarding tasks.,joiner|leaver|onboarding,idgovadmin,entra-gov,https://learn.microsoft.com/entra/id-governance/what-are-lifecycle-workflows,,enelm|usermgmt,2026-08
enbreakglass,concept,,Break-glass accounts,Protection,,Concept: two cloud-only emergency accounts excluded from CA,"Two cloud-only, CA-excluded, monitored emergency accounts; test quarterly; alert on any use.",emergency access,ga,free,https://learn.microsoft.com/entra/identity/role-based-access-control/security-emergency-access,,enca|mspbaseline,2026-08
enlicense,,,Licenses (Entra),,,Identity > Billing > Licenses,Entra-side license products and group-based assignment errors.,group licensing,licadmin,free,,,adlicense,2026-08
