# enrichment: purview. Missing own portals + groups/roles/licenses for the cmd.ms set.
# Paths inside the redesigned Purview portal are breadcrumbs; deep-link rot is tracked in docs/17 B6.
id,kind,category,aliases,name,group,url,path,desc,keywords,roles,license,docs,ps,related,verified
pudlm,,purview,,,Retention & records,,Purview portal > Solutions > Data lifecycle management,Retention policies and labels plus the import service; adaptive scopes are the premium layer.,retention policies,recordsmgmt,o365-e3,https://learn.microsoft.com/purview/data-lifecycle-management,,set-pu-precedence|set-pu-adaptive|set-pu-pstimport,2026-08
purecmon,,purview,,,Retention & records,,Purview portal > Solutions > Records management,Declare records and run disposition review; the locked end of the retention spectrum.,records disposition,recordsmgmt,e5-comp,https://learn.microsoft.com/purview/records-management,,pudlm|set-pu-precedence,2026-08
puirm,,purview,,,Risk & privacy,,Purview portal > Solutions > Insider risk management,Risky-user cases from signals like departing-employee data theft; feeds adaptive protection into Conditional Access.,insider risk cases,complianceadmin,e5-comp,https://learn.microsoft.com/purview/insider-risk-management,,set-pu-irmtemplates|pucomms,2026-08
pucomms,,purview,,,Risk & privacy,,Purview portal > Solutions > Communication compliance,Monitored channels and policy violations for regulated or sensitive communication.,communication monitoring,complianceadmin,e5-comp,https://learn.microsoft.com/purview/communication-compliance,,puirm,2026-08
puprivaprm,,purview,,,Risk & privacy,,Priva > Privacy risk management,Priva privacy posture: overexposed personal data findings and policies. Separate Priva licensing.,privacy risk,complianceadmin,,https://learn.microsoft.com/privacy/priva/risk-management,,puprivasrr,2026-08
puprivasrr,,purview,,,Risk & privacy,,Priva > Subject rights requests,DSAR intake and collection and review; the subject rights request runbook lives on this surface. Separate Priva licensing.,dsar|gdpr request,complianceadmin,,https://learn.microsoft.com/privacy/priva/subject-rights-requests,,puprivaprm,2026-08
pucmgr,,purview,,,Admin,,Purview portal > Solutions > Compliance Manager,Assessments and improvement actions and the compliance score.,compliance score,complianceadmin,free,https://learn.microsoft.com/purview/compliance-manager,,pu,2026-08
puperms,,purview,,,Admin,,Purview portal > Settings > Roles and scopes,Purview role groups admin: where eDiscovery Manager and Audit Reader are granted; separate from Entra roles.,role groups,complianceadmin,free,https://learn.microsoft.com/purview/purview-permissions,,set-pu-rolegroups,2026-08
pucloudgov,,purview,,,Admin,,Defender portal > App governance,OAuth app policies and alerts; operated with Defender for Cloud Apps despite the Purview branding.,app governance oauth,secadmin,mdca,https://learn.microsoft.com/defender-cloud-apps/app-governance-manage-app-governance,,decaoauth,2026-08
puib,portal,purview,,Information barriers,Data protection,https://purview.microsoft.com,Purview portal > Solutions > Information barriers,Blocks communication and collaboration between defined segments in Teams SharePoint and OneDrive.,ethical wall|segments,complianceadmin,e5-comp,https://learn.microsoft.com/purview/information-barriers,,engroups,2026-08
pudspmai,portal,purview,,DSPM for AI,Data protection,https://purview.microsoft.com,Purview portal > Solutions > DSPM for AI,AI usage posture: Copilot and third-party AI prompt activity with oversharing findings and one-click protection policies.,copilot readiness|ai posture,complianceadmin,e5-comp,https://learn.microsoft.com/purview/dspm-for-ai,,set-pu-copilotready|puinfoprot,2026-08
pualerts,portal,purview,,Alert policies,Admin,https://security.microsoft.com,Defender portal > Policies & rules > Alert policy,Default and custom activity alert policies with mail routing: where "why did nobody get told" investigations end.,activity alerts|alert policy,secreader,free,https://learn.microsoft.com/purview/alert-policies,,puaudit,2026-08
