# phase 4 settings encyclopedia: defender. Advanced-features toggle wall starters.
id,kind,aliases,name,group,url,path,desc,keywords,roles,license,docs,ps,related,verified,blastRadius,standards
tog-previewfeatures,setting,,Preview features,Settings > Endpoints,,Settings > Endpoints > Advanced features > Preview features,Opts the tenant into pre-GA endpoint features; fine for pilot tenants; decide deliberately for prod.,preview|pre-ga,xdr-authset,mde-p1,,,demdeadvfeats,2026-08,low,
tog-attacknotif,setting,,Endpoint attack notifications,Settings > Endpoints,,Settings > Endpoints > Advanced features > Endpoint attack notifications,Microsoft experts flag hands-on-keyboard attacks in your tenant; free signal; leave on.,threat experts,xdr-authset,mde-p2,https://learn.microsoft.com/defender-endpoint/endpoint-attack-notifications,,deincidents,2026-08,low,
tog-intuneconnection,setting,,Microsoft Intune connection,Settings > Endpoints,,Settings > Endpoints > Advanced features > Microsoft Intune connection,Shares MDE risk with Intune for compliance and enables security settings management flows.,connector|risk score,xdr-authset,mde-p1,,,demdeinperms|incompliance,2026-08,med,
tog-restrictcorrelation,setting,,Restrict correlation to scoped device groups,Settings > Endpoints,,Settings > Endpoints > Advanced features > Restrict correlation to within scoped device groups,Keeps incident correlation inside device-group RBAC scopes; for strict multi-team/MSSP separation only.,rbac correlation,xdr-authset,mde-p2,,,demdedevgrps,2026-08,med,
tog-devicediscovery,setting,,Device discovery mode,Settings > Endpoints,,Settings > Device discovery,Standard mode actively probes for unmanaged devices; Basic only listens; set exclusions for fragile OT segments.,unmanaged devices|network discovery,xdr-authset,mde-p2,https://learn.microsoft.com/defender-endpoint/device-discovery,,dedevices,2026-08,med,
set-xdr-urbac,setting,,Unified RBAC activation,Settings > Defender XDR,,Settings > Microsoft Defender XDR > Permissions and roles,Flips authorization from per-product roles to unified XDR roles per workload; map existing roles first; test with a scoped account.,unified rbac|permissions,xdr-authset,free,https://learn.microsoft.com/defender-xdr/manage-rbac,,demderoles,2026-08,high,
set-xdr-attackdisrupt,setting,,Automatic attack disruption exclusions,Settings > Defender XDR,,Settings > Microsoft Defender XDR > Identities > Automated response exclusions,Attack disruption contains users/devices mid-attack; exclude only accounts that must never be auto-contained (break-glass).,contain user|disruption,xdr-authset,mde-p2,https://learn.microsoft.com/defender-xdr/automatic-attack-disruption,,enbreakglass|air,2026-08,med,
set-xdr-emailnotif,setting,,XDR email notifications,Settings > Defender XDR,,Settings > Microsoft Defender XDR > Email notifications,Incident and response-action mails by severity and device group; route to the queue humans watch.,notifications,xdr-authset,free,,,demdemailalerts,2026-08,low,
de-exclusions,concept,,Exclusions hierarchy,Settings > Endpoints,,AV exclusions vs ASR exclusions vs indicators vs automation folders vs isolation rules,Five different exclusion layers act at different stages; document which layer holds each entry and audit quarterly. Allow-indicators beat AV exclusions for visibility.,exclusions|allowlist,secadmin,mde-p1,https://learn.microsoft.com/defender-endpoint/navigate-defender-endpoint-antivirus-exclusions,,inantivirus|demdetifiles|demdeafe|demdeier,2026-08,,
de-automationlevels,concept,,Automation levels (Full/Semi/None),Settings > Endpoints,,Device groups > automation level column,Full auto-remediates; Semi queues approvals in the Action center; None investigates only. Workstations belong on Full.,air levels,xdr-authset,mde-p2,https://learn.microsoft.com/defender-endpoint/automation-levels,,demdedevgrps|air|deactions,2026-08,,
de-networkprotection,concept,,Network protection stack,Settings > Endpoints,,Defender AV network protection + SmartScreen + web content filtering,Network protection (block mode) powers custom network indicators and WCF; SmartScreen covers the browser; know which layer fired before tuning.,smartscreen|web protection,secadmin,mde-p1,https://learn.microsoft.com/defender-endpoint/network-protection,,tog-customnetind|demdewcf,2026-08,,
de-customdetections,portal,,Custom detection rules,Investigate & respond,https://security.microsoft.com/custom_detection,Hunting > Custom detection rules,Scheduled advanced-hunting queries that raise alerts with response actions; near-real-time frequencies exist; entity mapping matters.,custom detections|scheduled hunt,secadmin,,https://learn.microsoft.com/defender-xdr/custom-detection-rules,,dehunting|xdranalytics,2026-08,,
de-mdi-actionaccounts,setting,,MDI action accounts (gMSA),Identities,,Settings > Identities > Directory service accounts,gMSA accounts MDI uses to read AD and execute response actions (disable user); least-priv and rotation come free with gMSA.,gmsa|directory service account,secadmin,mdi,https://learn.microsoft.com/defender-for-identity/directory-service-accounts,,deusers|tog-deception,2026-08,med,
de-caac,setting,caac-policies,Session policies (Conditional Access App Control),Cloud apps,,Cloud apps > Policies > Session policies,Reverse-proxy controls inside SaaS sessions: block download/paste on unmanaged devices; pairs with a CA session grant.,session control|reverse proxy,secadmin,mdca,https://learn.microsoft.com/defender-cloud-apps/proxy-intro-aad,,enca|decacat,2026-08,med,
de-priorityaccounts,setting,,Priority account protection,Email & collab,,M365 admin > Setup > Priority accounts + Defender differentiated protection,Tag VIP mailboxes for stricter heuristics and dedicated reporting; feed the same list to your alert triage.,vip|differentiated protection,secadmin,mdo-p2,https://learn.microsoft.com/defender-office-365/priority-accounts-turn-on-priority-account-protection,,deap|usermgmt,2026-08,low,
