# phase 5 PowerShell library. Single-line code only (loader is line-based).
# Every cmdlet verified against its module; placeholders use contoso.com.
id,title,subject,module,scopes,code,tags,docs,verified,related
ps-spo-sharing,Report external sharing setting per site,m365,Microsoft.Online.SharePoint.PowerShell,SharePoint admin role,"Get-SPOSite -Limit All | Select-Object Url, SharingCapability, StorageUsageCurrent",sharing|audit,,2026-08,spexternal
ps-teams-policies,List Teams meeting policies,m365,MicrosoftTeams,Teams admin role,"Get-CsTeamsMeetingPolicy | Select-Object Identity, AllowRecording, AllowTranscription",teams policies,,2026-08,teams
ps-az-connect,Connect to Azure and set a subscription,azure,Az,Azure RBAC,Connect-AzAccount -Tenant $tenantId -Subscription $subId,connect|azure,,2026-08,az
ps-az-role-audit,Audit Azure role assignments at a scope,azure,Az,Reader on scope,"Get-AzRoleAssignment -Scope /subscriptions/$subId | Select-Object DisplayName, RoleDefinitionName, Scope",rbac|audit,,2026-08,azsubs
ps-az-diag-settings,Check diagnostic settings on a resource,azure,Az,Reader on resource,Get-AzDiagnosticSetting -ResourceId $resourceId,diagnostics|logging,,2026-08,azdiag
ps-sentinel-incidents,List Sentinel incidents,sentinel,Az,Sentinel Reader,"Get-AzSentinelIncident -ResourceGroupName $rg -WorkspaceName $ws | Select-Object Title, Severity, Status",incidents,https://learn.microsoft.com/powershell/module/az.securityinsights/get-azsentinelincident,2026-08,deincidents
ps-sentinel-rules,Export Sentinel analytics rules,sentinel,Az,Sentinel Contributor,Get-AzSentinelAlertRule -ResourceGroupName $rg -WorkspaceName $ws | ConvertTo-Json -Depth 10 | Out-File rules.json,rules|backup,,2026-08,xdranalytics
ps-la-query,Run a Log Analytics query from PowerShell,sentinel,Az,Log Analytics Reader,Invoke-AzOperationalInsightsQuery -WorkspaceId $wsId -Query 'Heartbeat | take 10',kql|query api,,2026-08,azloganalytics
ps-maester-run,Run a Maester tenant security test pass,msp,Maester,varies (read-only recommended),Invoke-Maester -OutputFolder ./maester-report,baseline|tests,https://maester.dev,2026-08,maester|mspbaseline
ps-pp-environments,List Power Platform environments,power,Microsoft.PowerApps.Administration.PowerShell,Power Platform admin role,"Get-AdminPowerAppEnvironment | Select-Object DisplayName, EnvironmentType",environments,,2026-08,pp
ps-pp-flow-owners,Find flows owned by a leaving user,power,Microsoft.PowerApps.Administration.PowerShell,Power Platform admin role,Get-AdminFlow -CreatedBy $userObjectId | Select-Object DisplayName,offboarding|flows,,2026-08,pp-flowops
