# enrichment: intune. Endpoint security + compliance chain priority.
id,kind,aliases,name,group,url,path,desc,keywords,roles,license,docs,ps,related,verified
inwdu,,,,Updates,,Devices > Windows updates > Driver updates,Approve or auto-approve driver updates per policy.,drivers,in-policyprofile,intune-p1,,,inwur,2026-08
inscripts,,,,Configuration,,Devices > Scripts and remediations > Platform scripts,PowerShell/shell scripts pushed via the management extension.,scripts,in-policyprofile,intune-p1,,,inprorem|imelogs,2026-08
inprorem,,,,Configuration,,Devices > Scripts and remediations > Remediations,Detect + fix script pairs on a schedule; needs the remediations entitlement.,proactive remediation,in-policyprofile,intune-p1,https://learn.microsoft.com/mem/intune/fundamentals/remediations,,inscripts,2026-08
intenant,,,,Tenant admin,,Intune > Tenant administration,"Tenant status, connector health, roles + scope tags, audit logs.",connectors|status,intuneadmin,intune-p1,,,inconnectors|introubleshoot,2026-08
introubleshoot,,,,Tenant admin,,Tenant administration > Troubleshooting + support,Per-user view of devices; policies; app installs; the L1 starting point.,per-user triage,in-helpdesk,intune-p1,https://learn.microsoft.com/mem/intune/fundamentals/help-desk-operators,,indevices|usermgmt,2026-08
incompsettings,setting,,Compliance policy settings (fail-open switch),Compliance,,Endpoint security > Device compliance > Compliance policy settings,"Two tenant-wide switches: mark devices with no policy Compliant/Not compliant (flip to Not compliant), and compliance status validity period (default 30 days).",fail open|validity period,intuneadmin,intune-p1,https://learn.microsoft.com/mem/intune/protect/device-compliance-get-started#compliance-policy-settings,,incompliance|enca,2026-08
inesp,setting,,Enrollment Status Page,Enrollment,,Devices > Enrollment > Windows > Enrollment Status Page,"Blocks device use until required apps/policies apply; timeout, blocking apps, skip rules.",esp|provisioning,intuneadmin,intune-p1,https://learn.microsoft.com/autopilot/enrollment-status,,inap|mdmdiag,2026-08
infilters,setting,,Assignment filters,Tenant admin,,Tenant administration > Filters,Include/exclude devices in assignments by rule; evaluated at check-in.,filters|assignments,in-policyprofile,intune-p1,https://learn.microsoft.com/mem/intune/fundamentals/filters,,incompliance,2026-08
inconnectors,setting,,Connectors and tokens health,Tenant admin,,Tenant administration > Connectors and tokens,"APNs certificate, VPP and ABM tokens, certificate connectors: expiry here breaks fleets. Calendar the renewals.",apns|vpp|abm|expiry,intuneadmin,intune-p1,,,inenroll|intenant,2026-08
ingpo,setting,,Group Policy analytics,Configuration,,Devices > Group Policy analytics,Import GPO reports; see MDM equivalence; migrate to Settings Catalog.,gpo migration,in-policyprofile,intune-p1,https://learn.microsoft.com/mem/intune/configuration/group-policy-analytics,,inconfig,2026-08
