# phase 7 seeds: error-code encyclopedia records (AADSTS / enrollment / NDR families).
# category is per-row here because this file spans subjects.
id,kind,category,aliases,name,group,url,path,desc,keywords,roles,license,docs,ps,related,verified
aadsts50058,concept,entra,,AADSTS50058: silent sign-in failed,Error codes,,,An application asked for a token silently but no signed-in session existed in the browser. Usually informational noise in the logs; the app falls back to an interactive prompt and succeeds.,silent sign in|no session|informational,,free,https://learn.microsoft.com/entra/identity-platform/reference-error-codes,,ensign,2026-08
aadsts50074,concept,entra,,AADSTS50074: strong authentication required,Error codes,,,The resource demands MFA and the current token does not carry it. Appears when a per-resource policy requires MFA mid-session; the user completes the challenge and continues.,mfa required|strong auth|claims challenge,,free,https://learn.microsoft.com/entra/identity-platform/reference-error-codes,,enca|enpumfa,2026-08
aadsts50079,concept,entra,,AADSTS50079: MFA enrollment required,Error codes,,,The user must register authentication methods before continuing: they are in scope of an MFA requirement but have never enrolled. Point them at the combined security info registration.,mfa enrollment|register methods,,free,https://learn.microsoft.com/entra/identity-platform/reference-error-codes,,enpumfa|mymfa,2026-08
aadsts50097,concept,entra,,AADSTS50097: device authentication required,Error codes,,,The sign-in needs a device identity claim the client could not provide: typically Conditional Access requiring a joined or registered device while the browser session cannot prove one. Check device registration state and use a profile where the work account is present.,device authentication|device claim|prt,,free,https://learn.microsoft.com/entra/identity-platform/reference-error-codes,,endevices|dsregcmd,2026-08
aadsts50105,concept,entra,,AADSTS50105: user not assigned to the application,Error codes,,,The app has assignment required enabled and the signed-in user is not on the list. Add the user or their group to the enterprise application; this is the standard error behind every "I cannot open the new app" ticket.,not assigned|assignment required|app access,,free,https://learn.microsoft.com/entra/identity-platform/reference-error-codes,,enapps|engroups,2026-08
aadsts50126,concept,entra,,AADSTS50126: invalid username or password,Error codes,,,The credentials were wrong. The overwhelmingly common code in sign-in logs; bulk occurrences against many accounts from one address are password spray and belong to security not the desk.,wrong password|invalid credentials|password spray,,free,https://learn.microsoft.com/entra/identity-platform/reference-error-codes,,ensign|scenario-compromise,2026-08
aadsts50128,concept,entra,,AADSTS50128: tenant not found from domain,Error codes,,,The request carried a domain that maps to no tenant: a typo in the sign-in address domain or an app pointed at a wrong tenant hint. Verify the domain actually exists in the target tenant.,invalid domain|tenant not found,,free,https://learn.microsoft.com/entra/identity-platform/reference-error-codes,,endom|domains,2026-08
aadsts50144,concept,entra,,AADSTS50144: on-premises password expired,Error codes,,,A federated or hybrid user's Active Directory password has expired. The change must happen on-premises (or through SSPR with writeback); the cloud error is only the messenger.,password expired|hybrid|on-premises,,free,https://learn.microsoft.com/entra/identity-platform/reference-error-codes,,ensspr|ensynclog,2026-08
aadsts50158,concept,entra,,AADSTS50158: external security challenge not satisfied,Error codes,,,A third-party MFA provider was supposed to complete the challenge and did not. Look at the external provider's health and the user's enrollment there rather than at Entra.,external mfa|third party challenge,,free,https://learn.microsoft.com/entra/identity-platform/reference-error-codes,,enauth,2026-08
aadsts50173,concept,entra,,AADSTS50173: fresh token required,Error codes,,,The existing token is no longer acceptable: password changed; sessions revoked; or too much time passed for the requested action. The user signs in again; expected behavior after any containment action.,fresh auth|token revoked|sign in again,,free,https://learn.microsoft.com/entra/identity-platform/reference-error-codes,,ensign|enusers,2026-08
aadsts500121,concept,entra,,AADSTS500121: MFA challenge failed,Error codes,,,The MFA request was denied or timed out: the user rejected the push; entered a wrong code; or never saw the prompt. Repeated denied pushes the user did not initiate are MFA fatigue attacks and go to security.,mfa denied|push rejected|mfa fatigue,,free,https://learn.microsoft.com/entra/identity-platform/reference-error-codes,,enpumfa|ensign,2026-08
aadsts51004,concept,entra,,AADSTS51004: account not provisioned in directory,Error codes,,,The identity authenticated externally but no matching account exists in the tenant: sync has not created it or the immutable id mapping broke. A hybrid identity plumbing issue rather than a user mistake.,not provisioned|federated account missing,,free,https://learn.microsoft.com/entra/identity-platform/reference-error-codes,,ensynclog|encloudsync,2026-08
aadsts53000,concept,entra,,AADSTS53000: device not compliant,Error codes,,,Conditional Access requires a compliant device and this one is not (or its state has not reached Entra yet). Fix compliance in Intune and sync; the compliance chain runbook walks the whole path.,device compliant|conditional access|blocked,,entra-p1,https://learn.microsoft.com/entra/identity-platform/reference-error-codes,,incompliance|enca,2026-08
aadsts53001,concept,entra,,AADSTS53001: device not domain joined,Error codes,,,Conditional Access requires a hybrid-joined device. The machine is not hybrid joined or cannot prove it in this session; check the join state with the device diagnostics before touching the policy.,hybrid join required|domain joined|blocked,,entra-p1,https://learn.microsoft.com/entra/identity-platform/reference-error-codes,,endevices|enca,2026-08
aadsts65001,concept,entra,,AADSTS65001: consent required,Error codes,,,The app has no consent for the permissions it requests: a new app; new scopes; or consent policy requiring an admin. Handle through the admin consent workflow rather than granting reflexively.,consent required|permissions|admin consent,,free,https://learn.microsoft.com/entra/identity-platform/reference-error-codes,,enconsent|enappreg,2026-08
aadsts65004,concept,entra,,AADSTS65004: user declined consent,Error codes,,,The user was shown the consent prompt and said no. Only relevant when it surprises: explain what the app wants or route to the admin consent request flow.,declined consent|prompt rejected,,free,https://learn.microsoft.com/entra/identity-platform/reference-error-codes,,enconsent,2026-08
aadsts700016,concept,entra,,AADSTS700016: application not found in tenant,Error codes,,,The client id does not exist in the tenant the request targeted: wrong tenant endpoint; the app was deleted; or a multi-tenant app whose service principal was never provisioned here. Compare the client id and the authority URL first.,application not found|wrong client id|unauthorized client,,free,https://learn.microsoft.com/entra/identity-platform/reference-error-codes,,enappreg|enapps,2026-08
aadsts700082,concept,entra,,AADSTS700082: refresh token expired (inactivity),Error codes,,,The refresh token sat unused past its inactivity window and died. Normal for rarely used scripts and kiosk accounts: re-authenticate and consider a managed identity or certificate flow for anything scheduled.,refresh token expired|inactivity|automation broke,,free,https://learn.microsoft.com/entra/identity-platform/reference-error-codes,,graphps|enappreg,2026-08
aadsts7000215,concept,entra,,AADSTS7000215: invalid client secret,Error codes,,,The client secret is wrong or expired. The classic mistake is pasting the secret's ID instead of its value; the second classic is the secret expiring in production. Rotate properly and prefer certificates.,invalid client secret|expired secret|automation broke,,free,https://learn.microsoft.com/entra/identity-platform/reference-error-codes,,enappreg|enapps,2026-08
aadsts7000218,concept,entra,,AADSTS7000218: client assertion or secret required,Error codes,,,The token request arrived without a client credential because the app is not marked as a public client while using a flow that needs it (device code or ROPC). Flip Allow public client flows on the app registration or send a proper credential.,public client|client assertion|device code flow,,free,https://learn.microsoft.com/entra/identity-platform/reference-error-codes,,enappreg,2026-08
enroll-0x801c0003,concept,intune,,0x801c0003: device registration blocked,Error codes,,,Joining or registering the device with Entra failed: the user hit their device limit; device registration is restricted; or the user may not join devices per policy. Check the Entra device settings and the user's registered device count then retry.,enrollment error|device limit|join blocked,,intune-p1,https://learn.microsoft.com/troubleshoot/mem/intune/device-enrollment/troubleshoot-windows-enrollment-errors,,endevicesettings|inenroll,2026-08
enroll-0x80180014,concept,intune,,0x80180014: platform blocked by enrollment restrictions,Error codes,,,Intune enrollment restrictions block this device: the platform is disallowed or personally owned devices of this type are blocked. Check the enrollment device platform restrictions and which restriction applies to the user's group.,enrollment error|platform blocked|personal devices,,intune-p1,https://learn.microsoft.com/troubleshoot/mem/intune/device-enrollment/troubleshoot-windows-enrollment-errors,,inenroll,2026-08
ndr-511,concept,m365,5.1.1,NDR 5.1.1: bad destination address,Error codes,,,The recipient address does not exist: a typo; a deleted mailbox; or the sender's Outlook auto-completing a stale entry. Have the sender delete the cached nickname and retype the address before anyone blames mail flow.,bounce|ndr|user unknown|bad address,,free,https://learn.microsoft.com/exchange/mail-flow-best-practices/non-delivery-reports-in-exchange-online/fix-error-code-550-5-1-1-through-5-1-20-in-exchange-online,,exmt|ex,2026-08
ndr-5110,concept,m365,5.1.10,NDR 5.1.10: recipient not found,Error codes,,,Office 365 could not find the recipient object: commonly a hybrid routing gap where the address exists on-premises but has no mail user in Exchange Online or vice versa. Verify the recipient exists in the directory the message is routed through.,bounce|ndr|recipient not found|hybrid routing,,free,https://learn.microsoft.com/exchange/mail-flow-best-practices/non-delivery-reports-in-exchange-online/fix-error-code-550-5-1-10-in-exchange-online,,exmt|ex,2026-08
ndr-541,concept,m365,5.4.1,NDR 5.4.1: recipient address rejected (access denied),Error codes,,,Directory-Based Edge Blocking rejected the address at the front door: the recipient is not in the directory. Frequent when MX points at Exchange Online for a domain whose recipients are incomplete or when catch-all behavior is expected but not configured.,bounce|ndr|access denied|edge blocking,,free,https://learn.microsoft.com/exchange/mail-flow-best-practices/non-delivery-reports-in-exchange-online/non-delivery-reports-in-exchange-online,,exmt|domains,2026-08
ndr-522,concept,m365,5.2.2,NDR 5.2.2: mailbox full,Error codes,,,The recipient's mailbox is over quota and rejecting mail. The recipient must delete or archive content or their admin raises the quota within plan limits; senders can only wait.,bounce|ndr|mailbox full|over quota,,free,https://learn.microsoft.com/exchange/mail-flow-best-practices/non-delivery-reports-in-exchange-online/non-delivery-reports-in-exchange-online,,ex|exmt,2026-08
ndr-523,concept,m365,5.2.3,NDR 5.2.3: message too large for recipient,Error codes,,,The message exceeds a size limit on the recipient side: recipient-level or transport limit rather than the tenant maximum. Shrink the attachment or share a link; raising limits is an admin decision with real tradeoffs.,bounce|ndr|message too large|size limit,,free,https://learn.microsoft.com/exchange/mail-flow-best-practices/non-delivery-reports-in-exchange-online/non-delivery-reports-in-exchange-online,,ex|exmt,2026-08
ndr-57133,concept,m365,5.7.133,NDR 5.7.133: sender not authenticated for group,Error codes,,,The distribution list or Microsoft 365 group only accepts mail from authenticated senders and the message came from outside. Either allow external senders on that group or accept that the block is working as designed.,bounce|ndr|group delivery|external senders,,free,https://learn.microsoft.com/exchange/mail-flow-best-practices/non-delivery-reports-in-exchange-online/non-delivery-reports-in-exchange-online,,engroups|ex,2026-08
ndr-5723,concept,m365,5.7.23,NDR 5.7.23: SPF validation failed,Error codes,,,The destination rejected the message because the sending infrastructure is not in the domain's SPF record. Typically a new sending service nobody registered: fix the SPF record rather than asking recipients to allow-list.,bounce|ndr|spf fail|authentication,,free,https://learn.microsoft.com/exchange/mail-flow-best-practices/non-delivery-reports-in-exchange-online/non-delivery-reports-in-exchange-online,,dedkim|exmt,2026-08
ndr-57509,concept,m365,5.7.509,NDR 5.7.509: rejected by DMARC policy,Error codes,,,The sending domain publishes a DMARC reject policy and the message failed alignment. Same root causes as SPF failures plus DKIM misalignment; fix authentication for the sending service instead of weakening the policy.,bounce|ndr|dmarc reject|alignment,,free,https://learn.microsoft.com/exchange/mail-flow-best-practices/non-delivery-reports-in-exchange-online/non-delivery-reports-in-exchange-online,,dedkim|exmt,2026-08
ndr-447,concept,m365,4.4.7,NDR 4.4.7: message expired in queue,Error codes,,,Delivery kept failing temporarily until the message aged out: the destination server was unreachable; greylisting never cleared; or forced TLS could not negotiate. Read the last attempt error inside the NDR for the real blocker.,bounce|ndr|queue expired|delivery delayed,,free,https://learn.microsoft.com/exchange/mail-flow-best-practices/non-delivery-reports-in-exchange-online/non-delivery-reports-in-exchange-online,,exmt|tnc,2026-08
