# enrichment: defender. Settings > Endpoints pages get full path/role/license treatment.
id,kind,aliases,name,group,url,path,desc,keywords,roles,license,docs,ps,related,verified
deap,,,,Email & collab,,Threat policies > Anti-phishing,Spoof intelligence for all; impersonation protection needs MDO P1.,phish|impersonation,secadmin,free,https://learn.microsoft.com/defender-office-365/anti-phishing-policies-about,Get-AntiPhishPolicy,detp,2026-08
deasp,,,,Email & collab,,Threat policies > Anti-spam,"Inbound spam thresholds, allow/block, outbound spam incl. auto-forward control.",spam|forwarding,secadmin,free,https://learn.microsoft.com/defender-office-365/anti-spam-protection-about,Get-HostedContentFilterPolicy,exforwarding,2026-08
deamp,,,,Email & collab,,Threat policies > Anti-malware,Common attachment filter and malware handling.,malware,secadmin,free,,Get-MalwareFilterPolicy,detp,2026-08
desap,,,,Email & collab,,Threat policies > Safe Attachments,Detonation sandbox for attachments; dynamic delivery for mailboxes.,detonation,secadmin,mdo-p1,https://learn.microsoft.com/defender-office-365/safe-attachments-about,Get-SafeAttachmentPolicy,deslp,2026-08
deslp,,,,Email & collab,,Threat policies > Safe Links,Time-of-click URL protection; do not exempt without a reason.,url rewrite,secadmin,mdo-p1,https://learn.microsoft.com/defender-office-365/safe-links-about,Get-SafeLinksPolicy,desap,2026-08
dedkim,,,,Email & collab,,Email authentication settings > DKIM,Rotate and enable DKIM per domain; pair with SPF and DMARC.,spf|dmarc|email auth,secadmin,free,https://learn.microsoft.com/defender-office-365/email-authentication-dkim-configure,Get-DkimSigningConfig,exforwarding,2026-08
deast,,,,Email & collab,,Email & collaboration > Attack simulation training,Phishing simulations and assigned trainings.,simulation,secadmin,mdo-p2,https://learn.microsoft.com/defender-office-365/attack-simulation-training-get-started,,deastrep,2026-08
deastrep,,,,Email & collab,,Attack simulation training > Reports,Click and completion rates per campaign.,,secreader,mdo-p2,,,deast,2026-08
dedevices,,,,Assets,,Defender portal > Assets > Devices,MDE device inventory: onboarding state; risk; exposure; tags.,inventory,secreader,mde-p1,https://learn.microsoft.com/defender-endpoint/machines-view-overview,,demdeonboard|demdedevgrps,2026-08
deusers,,,,Assets,,Defender portal > Assets > Identities,MDI-enriched identity pages; lateral movement paths.,identities|itdr,secreader,mdi,,,scenario-compromise,2026-08
decacat,,,,Cloud apps,,Cloud apps > Cloud app catalog,Risk-score 30k+ SaaS apps; sanction/unsanction.,shadow it,secreader,mdca,,,decaoauth,2026-08
decaoauth,,,,Cloud apps,,Cloud apps > OAuth apps,Consented app grants; hunt consent-phishing here.,consent|oauth,secop,mdca,https://learn.microsoft.com/defender-cloud-apps/manage-app-permissions,,enconsent|scenario-phishing,2026-08
dess,,,,Posture,,Defender portal > Exposure management > Secure Score,Cross-workload security posture score and recommended actions.,posture,secreader,free,https://learn.microsoft.com/defender-xdr/microsoft-secure-score,,enscore,2026-08
dereport,,,,Reports,,Defender portal > Reports,Report hub for endpoints; email & collab; cloud apps; identities.,,secreader,free,,,desecreport,2026-08
desecreport,,,,Reports,,Reports > Security report,Executive-style monthly posture and detection summary.,,secreader,free,,,demonsum,2026-08
devulnreport,,,,Reports,,Reports > Vulnerable devices,MDVM exposure: vulnerable device trends by severity and platform.,tvm|cve,secreader,mde-p2,,,dedevices,2026-08
deasrreport,,,,Reports,,Reports > Attack surface reduction rules,Per-ASR-rule audit/block telemetry; graduate audit rules to block here.,asr,secreader,mde-p1,https://learn.microsoft.com/defender-endpoint/attack-surface-reduction,,inasr,2026-08
desettings,,,,Settings,,Defender portal > Settings,Root of all Defender portal settings areas.,,xdr-authset,free,,,demdesettings|dealerttuning,2026-08
demdesettings,,,,Settings > Endpoints,,Settings > Endpoints,MDE settings landing: features; rules; permissions; onboarding.,,xdr-authset,mde-p1,https://learn.microsoft.com/defender-endpoint/preferences-setup,,desettings,2026-08
demdeadvfeats,,,,Settings > Endpoints,,Settings > Endpoints > Advanced features,"The toggle wall: live response, tamper protection, EDR block mode, custom indicators.",toggles|tamper,xdr-authset,mde-p1,https://learn.microsoft.com/defender-endpoint/advanced-features,,demdesettings,2026-08
demdelicenses,,,,Settings > Endpoints,,Settings > Endpoints > Licenses,MDE license position as the portal sees it.,,secreader,free,,,adlicense,2026-08
demdemailalerts,,,,Settings > Endpoints,,Settings > Endpoints > Email notifications > Alerts,Send alert mail by severity and device group.,notifications,xdr-authset,mde-p1,,,demdemailvulns,2026-08
demdemailvulns,,,,Settings > Endpoints,,Settings > Endpoints > Email notifications > Vulnerabilities,Notify on new vulnerability events.,notifications,xdr-authset,mde-p2,,,demdemailalerts,2026-08
demderoles,,,,Settings > Endpoints,,Settings > Endpoints > Roles,Legacy MDE RBAC; superseded by XDR unified RBAC when activated.,rbac,xdr-authset,mde-p1,https://learn.microsoft.com/defender-endpoint/rbac,,demdedevgrps,2026-08
demdedevgrps,,,,Settings > Endpoints,,Settings > Endpoints > Device groups,Group devices for RBAC scoping and automation level (Full/Semi/None).,automation level,xdr-authset,mde-p1,https://learn.microsoft.com/defender-endpoint/machine-groups,,demderoles|air,2026-08
demdetifiles,,,,Settings > Endpoints,,Settings > Endpoints > Indicators > File hashes,Allow/block/alert on file hashes; mind the exclusions hierarchy.,ioc,secop,mde-p1,https://learn.microsoft.com/defender-endpoint/manage-indicators,,demdetiip|demdetiurls,2026-08
demdetiip,,,,Settings > Endpoints,,Settings > Endpoints > Indicators > IP addresses,IP indicators; require network protection for block mode.,ioc,secop,mde-p1,,,demdetifiles,2026-08
demdetiurls,,,,Settings > Endpoints,,Settings > Endpoints > Indicators > URLs/Domains,URL and domain indicators.,ioc,secop,mde-p1,,,demdetifiles,2026-08
demdeticerts,,,,Settings > Endpoints,,Settings > Endpoints > Indicators > Certificates,Certificate-based allow/block.,ioc,secop,mde-p1,,,demdetifiles,2026-08
demdeier,,,,Settings > Endpoints,,Settings > Endpoints > Isolation exclusion rules,What still communicates while a device is isolated.,isolation,xdr-authset,mde-p1,,,demdeau,2026-08
demdepmi,,,,Settings > Endpoints,,Settings > Endpoints > Process memory indicators,Memory-based indicators (niche; audit before use).,,xdr-authset,mde-p2,,,demdetifiles,
demdewcf,,,,Settings > Endpoints,,Settings > Endpoints > Web content filtering,Category-based web blocking per device group.,web filter,xdr-authset,mde-p1,https://learn.microsoft.com/defender-endpoint/web-content-filtering,,dewebprotect,2026-08
demdeau,,,,Settings > Endpoints,,Settings > Endpoints > Automation uploads,File/memory content collection settings for AIR.,air,xdr-authset,mde-p1,,,demdeafe,2026-08
demdeafe,,,,Settings > Endpoints,,Settings > Endpoints > Automation folder exclusions,Folders AIR must not remediate; audit quarterly.,exclusions,xdr-authset,mde-p1,,,demdeau,2026-08
demdessm,,,,Settings > Endpoints,,Settings > Endpoints > Enforcement scope,MDE security settings management: Defender-managed policies for unenrolled devices.,security settings management,xdr-authset,mde-p1,https://learn.microsoft.com/mem/intune/protect/mde-security-integration,,inedr|demdeinperms,2026-08
demdeinperms,,,,Settings > Endpoints,,Settings > Endpoints > Intune permissions,Grant Intune the MDE connection for compliance risk scores.,connector,xdr-authset,mde-p1,,,incompliance,2026-08
demdeonboard,,,,Settings > Endpoints,,Settings > Endpoints > Onboarding,Per-platform onboarding packages and the client analyzer.,onboarding package,xdr-authset,mde-p1,https://learn.microsoft.com/defender-endpoint/onboarding,,demdeoffboard|inedr,2026-08
demdeoffboard,,,,Settings > Endpoints,,Settings > Endpoints > Offboarding,Time-limited offboarding package; devices linger 6 months in views.,,xdr-authset,mde-p1,,,demdeonboard,2026-08
demdelibrary,,,,Settings > Endpoints,,Settings > Endpoints > Live response library,Scripts and files usable in live response sessions.,live response,xdr-authset,mde-p2,,,demdeadvfeats,2026-08
scp,,,,Portal,,Security Copilot workspace (root),Security Copilot workspace; SCU capacity billed separately.,ai|copilot,secadmin,copilot-sec,https://learn.microsoft.com/copilot/security/,,defender,2026-08
air,concept,autoir,AIR: Automated investigation & response,Investigate & respond,,Concept: email AIR (MDO P2) and device AIR (MDE automation levels),Email AIR investigates reported mail and proposes purges (MDO P2); device AIR self-heals per device-group automation level (MDE P2). Approvals land in the Action center.,air|automated investigation|self-healing,secop,mdo-p2,https://learn.microsoft.com/defender-xdr/m365d-autoir,,deinvestigations|deactions|demdedevgrps,2026-08
desubmissions,portal,,Submissions,Email & collab,https://security.microsoft.com/reportsubmission,Email & collaboration > Submissions,"Admin and user-reported submissions to Microsoft: email, URLs, files; verdict tracking.",report phishing|false positive,secadmin,free,https://learn.microsoft.com/defender-office-365/submissions-admin,,deqre|detallow|scenario-phishing,2026-08
dethreatanalytics,portal,,Threat analytics,Investigate & respond,https://security.microsoft.com/threatanalytics3,Defender portal > Threat intelligence > Threat analytics,Microsoft-authored threat reports mapped to your exposure and incidents.,ta|reports,secreader,mde-p2,https://learn.microsoft.com/defender-xdr/threat-analytics,,deti,2026-08
dealerttuning,setting,,Alert tuning,Settings,,Settings > Microsoft Defender XDR > Alert tuning,Suppress or modify recurring alerts by condition; successor of suppression rules.,suppression|noise,xdr-authset,free,https://learn.microsoft.com/defender-xdr/investigate-alerts,,deincidents,2026-08
destreaming,setting,,Streaming API,Settings,,Settings > Microsoft Defender XDR > Streaming API,Export raw XDR events to Event Hub or Storage for SIEM/data lake.,event hub|export,xdr-authset,mde-p2,https://learn.microsoft.com/defender-xdr/streaming-api,,senconnectors,2026-08
demto,portal,mto,Multi-tenant management,Portal,https://mto.security.microsoft.com,Multi-tenant Defender portal,Cross-tenant incident queue and hunting for MSPs/MSSPs (GDAP-backed).,msp|multi-tenant,secop,free,https://learn.microsoft.com/defender-xdr/mto-overview,,gdap|deincidents,
scenario-phishing,concept,,Scenario: phishing mail follow-up,Scenarios,,Ordered map: every portal stop for a reported phish,"Submissions > email entity > Explorer purge > Action center > Quarantine > TABL > message trace > audit > sign-in logs > OAuth grants > Sentinel. Each stop linked under Related.",phishing|playbook,secop,free,,,desubmissions|deexplorer|deqre|detallow|exmt|puaudit|ensign|decaoauth,2026-08
scenario-compromise,concept,bec,Scenario: account compromise / BEC,Scenarios,,Containment order for a compromised account,Block sign-in + revoke sessions + reset password; re-register MFA; hunt inbox rules and forwarding; trace sent mail; dismiss/confirm risk; check devices; document.,bec|compromise|containment,secop,free,,,ensign|enmfaunblock|exrules|dere|deincidents,2026-08
scenario-incident,concept,,Scenario: incident follow-up chain,Scenarios,,Generic XDR/Sentinel incident walk,Incident queue > incident tabs > Action center approvals > AIR investigations > advanced hunting pivot > Sentinel automation trail > post-incident tuning + secure score.,incident response,secop,free,,,deincidents|deactions|air|dehunting|dealerttuning,2026-08
