# phase 5 KQL library. Single-line code only (loader is line-based).
# KQL string literals use single quotes on purpose: valid KQL, no CSV escaping.
id,title,subject,table,code,tags,docs,verified,related
kql-lolbin-usage,LOLBin executions (7d),defender,DeviceProcessEvents,"DeviceProcessEvents | where Timestamp > ago(7d) | where FileName in ('certutil.exe','mshta.exe','regsvr32.exe','rundll32.exe','bitsadmin.exe') | summarize count() by FileName, DeviceName",lolbin|hunting,,2026-08,dehunting
kql-ps-encoded,Encoded PowerShell command lines (7d),defender,DeviceProcessEvents,"DeviceProcessEvents | where Timestamp > ago(7d) | where FileName =~ 'powershell.exe' and ProcessCommandLine has_any (' -enc ', '-encodedcommand') | project Timestamp, DeviceName, AccountName, ProcessCommandLine",powershell|obfuscation,,2026-08,dehunting
kql-usb-mounts,USB drive mounts (7d),defender,DeviceEvents,"DeviceEvents | where Timestamp > ago(7d) | where ActionType == 'UsbDriveMounted' | project Timestamp, DeviceName, AdditionalFields",usb|device control,,2026-08,
kql-tamper-events,Tamper-related device events (14d),defender,DeviceEvents,"DeviceEvents | where Timestamp > ago(14d) | where ActionType contains 'Tamper' | project Timestamp, DeviceName, ActionType",tamper,,2026-08,tog-tamper
kql-rdp-inbound,Accepted inbound RDP (7d),defender,DeviceNetworkEvents,"DeviceNetworkEvents | where Timestamp > ago(7d) | where ActionType == 'InboundConnectionAccepted' and LocalPort == 3389 | summarize count() by DeviceName, RemoteIP",rdp|lateral movement,,2026-08,
kql-local-admin-adds,Additions to local Administrators (14d),defender,DeviceEvents,"DeviceEvents | where Timestamp > ago(14d) | where ActionType == 'UserAccountAddedToLocalGroup' and AdditionalFields has 'S-1-5-32-544' | project Timestamp, DeviceName, InitiatingProcessAccountName, AdditionalFields",local admin|privilege,,2026-08,in-lapspolicy
kql-av-detections,Antivirus detections by file (7d),defender,DeviceEvents,"DeviceEvents | where Timestamp > ago(7d) | where ActionType == 'AntivirusDetection' | summarize count() by FileName, DeviceName | order by count_ desc",av|malware,,2026-08,inantivirus
kql-devices-silent,Onboarded devices silent 7+ days,defender,DeviceInfo,"DeviceInfo | summarize arg_max(Timestamp, *) by DeviceId | where Timestamp < ago(7d) | project DeviceName, Timestamp, OSPlatform",stale sensors,,2026-08,dedevices
kql-fw-blocks,Defender firewall inbound blocks (24h),defender,DeviceEvents,DeviceEvents | where Timestamp > ago(24h) | where ActionType == 'FirewallInboundConnectionBlocked' | summarize count() by RemoteIP | top 20 by count_,firewall,,2026-08,infirewall
kql-file-renames-bulk,Bulk file renames per device (1h bins),defender,DeviceFileEvents,"DeviceFileEvents | where Timestamp > ago(24h) | where ActionType == 'FileRenamed' | summarize Renames = count() by DeviceName, bin(Timestamp, 1h) | where Renames > 500",ransomware canary,,2026-08,
kql-phish-inbox,Phish delivered to inbox (7d),defender,EmailEvents,"EmailEvents | where Timestamp > ago(7d) | where ThreatTypes has 'Phish' and DeliveryLocation == 'Inbox/folder' | project Timestamp, RecipientEmailAddress, Subject, SenderFromAddress",phish delivered,,2026-08,scenario-phishing
kql-top-targeted,Most targeted recipients (30d),defender,EmailEvents,"EmailEvents | where Timestamp > ago(30d) | where ThreatTypes has_any ('Phish','Malware') | summarize count() by RecipientEmailAddress | top 10 by count_",vip|targeting,,2026-08,de-priorityaccounts
kql-url-clicks,Blocked and clicked-through URLs (7d),defender,UrlClickEvents,"UrlClickEvents | where Timestamp > ago(7d) | where ActionType != 'ClickAllowed' | project Timestamp, AccountUpn, Url, ActionType, IsClickedThrough",safe links|clicks,,2026-08,deslp
kql-spoof-detections,Spoof-flagged inbound mail (7d),defender,EmailEvents,"EmailEvents | where Timestamp > ago(7d) | where DetectionMethods has 'Spoof' | summarize count() by SenderFromDomain | top 15 by count_",spoof|dmarc,,2026-08,dedkim
kql-attachment-types,Attachment file types inbound (7d),defender,EmailAttachmentInfo,EmailAttachmentInfo | where Timestamp > ago(7d) | summarize count() by FileType | top 15 by count_,attachments,,2026-08,
kql-cloudapp-mass-delete,Mass deletions in cloud apps (24h),defender,CloudAppEvents,"CloudAppEvents | where Timestamp > ago(24h) | where ActionType has 'Delete' | summarize Deletes = count() by AccountDisplayName, bin(Timestamp, 1h) | where Deletes > 50",sabotage|mass delete,,2026-08,decacat
kql-identity-queries,AD query types via MDI (7d),defender,IdentityQueryEvents,IdentityQueryEvents | where Timestamp > ago(7d) | summarize count() by QueryType | order by count_ desc,recon|mdi,,2026-08,deusers
kql-ingest-trend,Daily billable ingestion trend (30d),sentinel,Usage,"Usage | where TimeGenerated > ago(30d) | where IsBillable == true | summarize GB = round(sum(Quantity) / 1024, 1) by bin(TimeGenerated, 1d) | order by TimeGenerated asc",cost trend,,2026-08,sencost
kql-rule-failures,Analytics rules failing (7d),sentinel,SentinelHealth,"SentinelHealth | where TimeGenerated > ago(7d) | where SentinelResourceType == 'Analytics Rule' and Status != 'Success' | summarize count() by SentinelResourceName",rule health,,2026-08,xdranalytics
kql-automation-failures,Automation rule/playbook failures (7d),sentinel,SentinelHealth,"SentinelHealth | where TimeGenerated > ago(7d) | where SentinelResourceType has 'Automation' and Status != 'Success' | project TimeGenerated, SentinelResourceName, Description",soar health,,2026-08,senautomation|senplaybookperms
kql-incident-mttr,Mean time to close incidents (30d),sentinel,SecurityIncident,"SecurityIncident | summarize arg_max(TimeGenerated, *) by IncidentNumber | where Status == 'Closed' and CreatedTime > ago(30d) | extend Hours = datetime_diff('hour', ClosedTime, CreatedTime) | summarize AvgHours = avg(Hours), Incidents = count()",mttr|reporting,,2026-08,deincidents
kql-incidents-severity,Open incidents by severity,sentinel,SecurityIncident,"SecurityIncident | summarize arg_max(TimeGenerated, *) by IncidentNumber | where Status != 'Closed' | summarize count() by Severity",queue|triage,,2026-08,deincidents
kql-alerts-by-product,Alert volume by product (7d),sentinel,SecurityAlert,SecurityAlert | where TimeGenerated > ago(7d) | summarize count() by ProductName | order by count_ desc,alert sources,,2026-08,
kql-table-freshness,Last received time per table,sentinel,Usage,"Usage | summarize LastSeen = max(TimeGenerated) by DataType | order by LastSeen asc",data freshness|connector down,,2026-08,senconnectors
kql-watchlist-vips,VIP sign-ins via watchlist (24h),sentinel,Watchlist,"_GetWatchlist('vips') | join kind=inner (SigninLogs | where TimeGenerated > ago(24h)) on $left.SearchKey == $right.UserPrincipalName | project TimeGenerated, UserPrincipalName, IPAddress, ResultType",watchlist|vip,https://learn.microsoft.com/azure/sentinel/watchlists-queries,2026-08,xdrwatchlist
kql-az-deletes,Azure delete operations by caller (7d),azure,AzureActivity,"AzureActivity | where TimeGenerated > ago(7d) | where OperationNameValue endswith 'DELETE' | summarize count() by Caller, OperationNameValue",azure audit,,2026-08,azmonitor
kql-nsg-changes,NSG rule changes (14d),azure,AzureActivity,"AzureActivity | where TimeGenerated > ago(14d) | where OperationNameValue has 'networksecuritygroups' and OperationNameValue endswith 'write' | project TimeGenerated, Caller, Properties",network changes,,2026-08,
kql-kv-writes,Key Vault control-plane writes (14d),azure,AzureActivity,"AzureActivity | where TimeGenerated > ago(14d) | where OperationNameValue has 'microsoft.keyvault/vaults' and OperationNameValue endswith 'write' | project TimeGenerated, Caller, Resource",key vault,,2026-08,azkv
kql-rbac-assignments,Azure role assignments created (30d),azure,AzureActivity,"AzureActivity | where TimeGenerated > ago(30d) | where OperationNameValue has 'roleassignments' and OperationNameValue endswith 'write' | project TimeGenerated, Caller, Properties",rbac|privilege,,2026-08,azpim
kql-agents-silent,Agents without heartbeat (1h),azure,Heartbeat,"Heartbeat | summarize LastBeat = max(TimeGenerated) by Computer | where LastBeat < ago(1h) | order by LastBeat asc",agent down|ama,,2026-08,az-arc-extensions
kql-agent-versions,Agent version spread,azure,Heartbeat,Heartbeat | where TimeGenerated > ago(1d) | summarize Computers = dcount(Computer) by Version | order by Computers desc,ama versions,,2026-08,
kql-wvd-errors,Top AVD connection errors (7d),windows,WVDErrors,WVDErrors | where TimeGenerated > ago(7d) | summarize count() by CodeSymbolic | top 10 by count_,avd|connection errors,,2026-08,azavd
kql-wvd-sessions,AVD connections per session host (24h),windows,WVDConnections,"WVDConnections | where TimeGenerated > ago(24h) | where State == 'Connected' | summarize count() by SessionHostName",avd|load,,2026-08,azavd
kql-intune-noncompliant,Noncompliant devices snapshot,intune,IntuneDeviceComplianceOrg,"IntuneDeviceComplianceOrg | summarize arg_max(TimeGenerated, *) by DeviceId | where ComplianceState != 'Compliant' | project DeviceName, OS, ComplianceState, UserName",compliance,,2026-08,incompliance
kql-intune-enroll-fails,Intune enrollment failures (7d),intune,IntuneOperationalLogs,"IntuneOperationalLogs | where TimeGenerated > ago(7d) | where OperationName has 'Enrollment' and Result != 'Success' | project TimeGenerated, Identity, Result, FailureReason",enrollment,,2026-08,inenroll
kql-office-ediscovery,eDiscovery search and export activity (30d),purview,OfficeActivity,"OfficeActivity | where TimeGenerated > ago(30d) | where RecordType has 'Discovery' | project TimeGenerated, UserId, Operation",ediscovery audit,,2026-08,puaudit
kql-dlp-officeactivity,DLP rule matches in workloads (7d),purview,OfficeActivity,"OfficeActivity | where TimeGenerated > ago(7d) | where Operation has 'DlpRuleMatch' | summarize count() by Operation, UserId",dlp matches,,2026-08,pudlp
